Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
07/05/2026;1.29;1.29;1.29;1.29;1.2900208676551346;9105;11745.64;06/05/2026;1.28
06/05/2026;1.28;1.28;1.28;1.28;1.280103092783505;9700;12417;04/05/2026;1.26
05/05/2026;;;;;1.28;1190;1523.2;04/05/2026;1.26
04/05/2026;1.26;1.26;1.26;1.26;1.2599521072796935;25056;31569.36;29/04/2026;1.25
30/04/2026;;;;;1.24;100;124;29/04/2026;1.25
29/04/2026;1.24;1.25;1.25;1.24;1.2456853103872156;16270;20267.3;24/04/2026;1.25
28/04/2026;;;;;;;;24/04/2026;1.25
27/04/2026;;1.25;;;1.2412835164835165;2275;2823.92;24/04/2026;1.25
24/04/2026;1.25;1.25;1.25;1.25;1.25;4930;6162.5;23/04/2026;1.24
23/04/2026;1.24;1.24;1.24;1.24;1.2402029083530606;29570;36672.8;22/04/2026;1.24
22/04/2026;1.25;1.24;1.25;1.24;1.2473638733487595;34141;42586.25;15/04/2026;1.24
21/04/2026;;;;;1.25;300;375;15/04/2026;1.24
20/04/2026;;;;;1.26;635;800.1;15/04/2026;1.24
17/04/2026;;;;;1.24;2327;2885.48;15/04/2026;1.24
16/04/2026;;;;;1.2511397849462365;930;1163.56;15/04/2026;1.24
15/04/2026;1.24;1.24;1.24;1.24;1.2423954638557226;20017;24869.03;10/04/2026;1.25
14/04/2026;;;;;1.27;1607;2040.89;10/04/2026;1.26
13/04/2026;;;;;1.2692579505300352;2264;2873.6;10/04/2026;1.26
10/04/2026;1.26;1.26;1.26;1.26;1.258491563227308;20624;25955.13;08/04/2026;1.25
09/04/2026;;;;;1.2496611617312074;3512;4388.81;08/04/2026;1.25
08/04/2026;1.25;1.25;1.26;1.25;1.25378052585768;60891;76343.95;07/04/2026;1.25
07/04/2026;1.23;1.25;1.25;1.23;1.239819749216301;35728;44296.28;06/04/2026;1.24
06/04/2026;1.24;1.24;1.24;1.24;1.2399747559744194;11884;14735.86;01/04/2026;1.24
01/04/2026;1.24;1.24;1.24;1.24;1.2388829402401969;27644;34247.68;31/03/2026;1.23
31/03/2026;1.23;1.23;1.23;1.23;1.226517337382941;15804;19383.88;30/03/2026;1.24
30/03/2026;1.24;1.24;1.24;1.24;1.2431079864237722;28874;35893.5;27/03/2026;1.25
27/03/2026;1.25;1.25;1.25;1.25;1.2499359614105123;48096;60116.92;25/03/2026;1.29
26/03/2026;;;;;1.2881235431235432;1716;2210.42;25/03/2026;1.29
25/03/2026;1.28;1.29;1.29;1.28;1.285791761148904;21168;27217.64;24/03/2026;1.27
24/03/2026;1.28;1.27;1.28;1.27;1.2744162951687144;27591;35162.42;23/03/2026;1.28
23/03/2026;1.32;1.28;1.32;1.28;1.2920194015575899;29276;37825.16;20/03/2026;1.3
20/03/2026;1.34;1.3;1.34;1.3;1.327202105346472;25269;33537.07;19/03/2026;1.33
19/03/2026;1.35;1.33;1.35;1.33;1.3398521439132578;18261;24467.04;18/03/2026;1.4
18/03/2026;1.37;1.4;1.4;1.37;1.3888561899156366;25485;35395;05/03/2026;1.41
17/03/2026;;;;;1.394453471196455;1354;1888.09;05/03/2026;1.41
16/03/2026;;;;;1.3946280143663419;1949;2718.13;05/03/2026;1.41
13/03/2026;;;;;1.398411214953271;321;448.89;05/03/2026;1.41
12/03/2026;;;;;1.393277591973244;897;1249.77;05/03/2026;1.41
11/03/2026;;;;;;;;05/03/2026;1.41
10/03/2026;;;;;1.3751328114974977;7793;10716.41;05/03/2026;1.41
09/03/2026;;;;;1.4079166666666667;96;135.16;05/03/2026;1.41
06/03/2026;;;;;1.3942884801548887;1033;1440.3;05/03/2026;1.41
05/03/2026;1.41;1.41;1.41;1.41;1.4084716110335946;27951;39368.19;04/03/2026;1.41
04/03/2026;1.41;1.41;1.41;1.41;1.41;14680;20698.8;27/02/2026;1.4
03/03/2026;;;;;1.3855408107616796;5501;7621.86;27/02/2026;1.4
02/03/2026;;;;;1.381236559139785;558;770.73;27/02/2026;1.4
27/02/2026;1.41;1.4;1.41;1.4;1.4025898151377747;34404;48254.7;26/02/2026;1.41
26/02/2026;1.41;1.41;1.41;1.41;1.4099177449168208;10820;15255.31;25/02/2026;1.42
25/02/2026;1.44;1.42;1.44;1.42;1.4302563576702216;24380;34869.65;23/02/2026;1.42
24/02/2026;;;;;1.41;336;473.76;23/02/2026;1.42
23/02/2026;1.42;1.42;1.42;1.42;1.4194928613920286;26896;38178.68;19/02/2026;1.42
20/02/2026;;;;;1.4384097677188803;1679;2415.09;19/02/2026;1.42
19/02/2026;1.42;1.42;1.42;1.42;1.4227700648977246;12173;17319.38;10/02/2026;1.44
18/02/2026;;;;;1.4264040477050959;5534;7893.72;10/02/2026;1.44
17/02/2026;;;;;1.42;252;357.84;10/02/2026;1.44
16/02/2026;;;;;1.4465462459194778;4595;6646.88;10/02/2026;1.44
13/02/2026;;;;;1.4429885057471266;348;502.16;10/02/2026;1.44
12/02/2026;;;;;1.4419306184012066;663;956;10/02/2026;1.44
11/02/2026;;;;;1.4480788804071247;3144;4552.76;10/02/2026;1.44
10/02/2026;1.44;1.44;1.44;1.44;1.4402683780630106;11998;17280.34;09/02/2026;1.44
09/02/2026;1.41;1.44;1.44;1.41;1.4326203166640539;89306;127941.59;05/02/2026;1.42
06/02/2026;;;;;1.4018413391557498;5496;7704.52;05/02/2026;1.42
05/02/2026;1.43;1.42;1.43;1.4;1.4232525112573604;37531;53416.09;04/02/2026;1.43
04/02/2026;1.43;1.43;1.43;1.43;1.429017861464737;20659;29522.08;03/02/2026;1.43
03/02/2026;1.43;1.43;1.43;1.43;1.42992556886652;42321;60515.88;02/02/2026;1.45
02/02/2026;1.42;1.45;1.45;1.42;1.4436517028694018;93225;134584.43;30/01/2026;1.45
30/01/2026;1.48;1.45;1.48;1.45;1.4602791399471897;42416;61939.2;28/01/2026;1.5
29/01/2026;;;;;1.4875946733250103;7209;10724.07;28/01/2026;1.5
28/01/2026;1.52;1.5;1.52;1.5;1.5206791294868174;24767;37662.66;27/01/2026;1.5
27/01/2026;1.5;1.5;1.5;1.5;1.521579057329099;23932;36414.43;23/01/2026;1.48
26/01/2026;;;;;1.5061451612903225;620;933.81;23/01/2026;1.48
23/01/2026;1.5;1.48;1.5;1.48;1.491197593838275;49207;73377.36;22/01/2026;1.5
22/01/2026;1.5;1.5;1.5;1.5;1.4959753671523024;34182;51135.43;21/01/2026;1.51
21/01/2026;1.51;1.51;1.51;1.51;1.5110971822451145;26404;39899.01;19/01/2026;1.5
20/01/2026;;;;;1.5244164252853978;5869;8946.8;19/01/2026;1.5
19/01/2026;1.47;1.5;1.54;1.47;1.4927877497855577;31477;46988.48;16/01/2026;1.45
16/01/2026;1.44;1.45;1.45;1.44;1.4485898687493222;27657;40063.65;15/01/2026;1.43
15/01/2026;1.43;1.43;1.43;1.43;1.4410387823544586;11629;16757.84;14/01/2026;1.45
14/01/2026;1.49;1.45;1.49;1.45;1.4698844765342962;27700;40715.8;13/01/2026;1.48
13/01/2026;1.45;1.48;1.48;1.45;1.4616170421041592;85811;125422.82;12/01/2026;1.42
12/01/2026;1.36;1.42;1.42;1.36;1.3973459688001166;34295;47921.98;09/01/2026;1.33
